epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62352,0.78785,3.46761,1.01265,0.0045,1,0.7719,0.66142,0.53967,3.10685,0.82427,0.0004,0.0004,0.0004
2,16.2161,0.66987,1.99571,0.94501,0.97283,0.17636,0.85359,0.71247,0.58142,2.93335,0.88004,0.000544375,0.000544375,0.000544375
3,22.8565,0.58042,1.53753,0.92386,0.99482,0.98488,0.995,0.91484,0.41056,1.8726,0.81453,0.0004165,0.0004165,0.0004165
1,9.60899,0.78785,3.46761,1.01265,0.0045,1,0.7719,0.66142,0.53967,3.10685,0.82427,0.0004,0.0004,0.0004
2,16.707,0.66987,1.99571,0.94501,0.97283,0.17636,0.85359,0.71247,0.58142,2.93335,0.88004,0.000544375,0.000544375,0.000544375
3,23.2813,0.58042,1.53753,0.92386,0.99482,0.98488,0.995,0.91484,0.41056,1.8726,0.81453,0.0004165,0.0004165,0.0004165
1,9.08156,0.78785,3.46761,1.01265,0.0045,1,0.7719,0.66142,0.53967,3.10685,0.82427,0.0004,0.0004,0.0004
2,15.6462,0.66987,1.99571,0.94501,0.97283,0.17636,0.85359,0.71247,0.58142,2.93335,0.88004,0.000544375,0.000544375,0.000544375
3,22.1753,0.58042,1.53753,0.92386,0.99482,0.98488,0.995,0.91484,0.41056,1.8726,0.81453,0.0004165,0.0004165,0.0004165
1,9.36393,0.78785,3.46761,1.01265,0.0045,1,0.7719,0.66142,0.53967,3.10685,0.82427,0.0004,0.0004,0.0004
2,16.2295,0.66987,1.99571,0.94501,0.97283,0.17636,0.85359,0.71247,0.58142,2.93335,0.88004,0.000544375,0.000544375,0.000544375
3,22.8408,0.58042,1.53753,0.92386,0.99482,0.98488,0.995,0.91484,0.41056,1.8726,0.81453,0.0004165,0.0004165,0.0004165
1,9.0774,0.78785,3.46761,1.01265,0.0045,1,0.7719,0.66142,0.53967,3.10685,0.82427,0.0004,0.0004,0.0004
2,15.6856,0.66987,1.99571,0.94501,0.97283,0.17636,0.85359,0.71247,0.58142,2.93335,0.88004,0.000544375,0.000544375,0.000544375
3,22.1614,0.58042,1.53753,0.92386,0.99482,0.98488,0.995,0.91484,0.41056,1.8726,0.81453,0.0004165,0.0004165,0.0004165
